Sample	äwê∂é¿å±3TM_NH3	
Comments	 	
Filename	C:\Users\User1\Desktop\DATA\äwê∂é¿å±3TM\äwê∂é¿å±3TM_NH3_2É∆_É∆.raw	
Goniometer	MiniFlex 300/600 +	
Attachment	âÒì]ééóøë‰	
Monochromater	None	
X	0	
Y	0	
Z	0	
ScanningMode	2Theta/Theta	
ScanningType	Continuos Scanning	
X-Ray	40kV/15mA	
IHS	5.0mm	
DS	1.250deg	
SS	13.0mm(Open)	
RS	13.0mm(Open)	
K-beta(x1)		
Start	20	
Stop	80	
Step	0.01	
Speed	1	
Offset	0	10539
25.22	877	268.3214726
25.23	827	267.8470443
25.24	829	267.8660214
25.25	843	267.9988614
25.26	852	268.0842585
25.27	862	268.1791441
25.28	802	267.6098302
25.29	817	267.7521586
25.3	854	268.1032356
25.31	835	267.9229528
25.32	870	268.2550527
25.33	836	267.9324414
25.34	836	267.9324414
25.35	842	267.9893728
25.36	892	268.4638011
25.37	885	268.3973812
25.38	865	268.2076098
25.39	839	267.9609071
25.4	826	267.8375557
25.41	834	267.9134643
25.42	869	268.2455641
25.43	859	268.1506784
25.44	822	267.7996015
25.45	827	267.8470443
25.46	840	267.9703957
25.47	858	268.1411899
25.48	865	268.2076098
25.49	816	267.7426701
25.5	812	267.7047158
25.51	839	267.9609071
25.52	833	267.9039757
25.53	849	268.0557928
25.54	849	268.0557928
25.55	883	268.378404
25.56	859	268.1506784
25.57	863	268.1886327
25.58	872	268.2740298
25.59	848	268.0463042
25.6	850	268.0652813
25.61	851	268.0747699
25.62	828	267.8565329
25.63	835	267.9229528
25.64	816	267.7426701
25.65	807	267.657273
25.66	829	267.8660214
25.67	830	267.87551
25.68	787	267.4675017
25.69	833	267.9039757
25.7	860	268.160167
25.71	876	268.3119841
25.72	853	268.093747
25.73	820	267.7806243
25.74	845	268.0178385
25.75	825	267.8280672
25.76	839	267.9609071
25.77	852	268.0842585
25.78	872	268.2740298
25.79	859	268.1506784
25.8	854	268.1032356
25.81	830	267.87551
25.82	830	267.87551
25.83	836	267.9324414
25.84	845	268.0178385
25.85	853	268.093747
25.86	834	267.9134643
25.87	860	268.160167
25.88	863	268.1886327
25.89	839	267.9609071
25.9	822	267.7996015
25.91	872	268.2740298
25.92	887	268.4163583
25.93	867	268.226587
25.94	883	268.378404
25.95	859	268.1506784
25.96	835	267.9229528
25.97	792	267.5149445
25.98	853	268.093747
25.99	829	267.8660214
26	799	267.5813645
26.01	851	268.0747699
26.02	826	267.8375557
26.03	876	268.3119841
26.04	876	268.3119841
