1 _ 1,,,,,,,,,,
時間,試験力,ストローク,変位計1,変位計2,応力,ストローク(ひずみ),変位,変位(ひずみ),変位計1(ひずみ),変位計2(ひずみ)
sec,N,mm,mm,mm,N/mm2,%,mm,%,%,%
1.72,36.2285,0.014325,-0.0153221,0.02007649,7.2457,0.014325,-0.0153221,-0.03064421,-0.03064421,0.04015298
1.73,36.458,0.01440833,-0.01539599,0.02017896,7.2916,0.01440833,-0.01539599,-0.03079198,-0.03079198,0.04035792
1.74,36.689,0.01449167,-0.01546964,0.0202813,7.3378,0.01449167,-0.01546964,-0.03093929,-0.03093929,0.0405626
1.75,36.923,0.014575,-0.01554313,0.02038353,7.3846,0.014575,-0.01554313,-0.03108626,-0.03108626,0.04076707
1.76,37.162,0.01465833,-0.01561642,0.0204857,7.4324,0.01465833,-0.01561642,-0.03123284,-0.03123284,0.0409714
1.77,37.4075,0.01474167,-0.01568951,0.02058776,7.4815,0.01474167,-0.01568951,-0.03137903,-0.03137903,0.04117553
1.78,37.6575,0.014825,-0.01576229,0.02068971,7.5315,0.014825,-0.01576229,-0.03152458,-0.03152458,0.04137942
1.79,37.913,0.01490833,-0.01583476,0.0207915,7.5826,0.01490833,-0.01583476,-0.03166953,-0.03166953,0.041583
1.8,38.172,0.01498333,-0.01590695,0.02089305,7.6344,0.01498333,-0.01590695,-0.0318139,-0.0318139,0.0417861
1.81,38.431,0.015075,-0.015979,0.02099411,7.6862,0.015075,-0.015979,-0.031958,-0.031958,0.04198822
1.82,38.6875,0.01515833,-0.01605102,0.02109453,7.7375,0.01515833,-0.01605102,-0.03210203,-0.03210203,0.04218906
1.83,38.94,0.01524167,-0.01612307,0.02119412,7.788001,0.01524167,-0.01612307,-0.03224614,-0.03224614,0.04238823
1.84,39.1885,0.015325,-0.01619505,0.02129282,7.8377,0.015325,-0.01619505,-0.0323901,-0.0323901,0.04258564
1.85,39.4325,0.01540833,-0.01626684,0.02139074,7.8865,0.01540833,-0.01626684,-0.03253367,-0.03253367,0.04278148
1.86,39.6735,0.01549167,-0.01633836,0.02148796,7.9347,0.01549167,-0.01633836,-0.03267671,-0.03267671,0.04297593
1.87,39.914,0.015575,-0.01640963,0.0215847,7.9828,0.015575,-0.01640963,-0.03281926,-0.03281926,0.04316939
1.88,40.1545,0.01565833,-0.01648063,0.02168121,8.030901,0.01565833,-0.01648063,-0.03296126,-0.03296126,0.04336242
1.89,40.398,0.01574167,-0.01655135,0.0217776,8.0796,0.01574167,-0.01655135,-0.03310269,-0.03310269,0.04355521
1.9,40.6465,0.01581667,-0.01662172,0.02187404,8.1293,0.01581667,-0.01662172,-0.03324344,-0.03324344,0.04374808
1.91,40.901,0.01590833,-0.01669181,0.02197059,8.180201,0.01590833,-0.01669181,-0.03338362,-0.03338362,0.04394118
1.92,41.1585,0.01599167,-0.01676171,0.02206734,8.2317,0.01599167,-0.01676171,-0.03352342,-0.03352342,0.04413467
1.93,41.416,0.016075,-0.01683148,0.02216436,8.2832,0.016075,-0.01683148,-0.03366296,-0.03366296,0.04432873
1.94,41.6705,0.01615833,-0.01690116,0.02226164,8.334101,0.01615833,-0.01690116,-0.03380233,-0.03380233,0.04452329
1.95,41.9185,0.01624167,-0.01697092,0.02235894,8.3837,0.01624167,-0.01697092,-0.03394184,-0.03394184,0.04471788
1.96,42.161,0.016325,-0.01704081,0.02245616,8.432199,0.016325,-0.01704081,-0.03408162,-0.03408162,0.04491231
1.97,42.3985,0.01640833,-0.01711086,0.02255318,8.4797,0.01640833,-0.01711086,-0.03422173,-0.03422173,0.04510636
1.98,42.6345,0.01649167,-0.0171808,0.02264994,8.526899,0.01649167,-0.0171808,-0.0343616,-0.0343616,0.04529989
1.99,42.872,0.016575,-0.01725038,0.02274636,8.5744,0.016575,-0.01725038,-0.03450076,-0.03450076,0.04549272
2,43.116,0.01665833,-0.01731946,0.0228424,8.6232,0.01665833,-0.01731946,-0.03463891,-0.03463891,0.0456848
2.01,43.366,0.01674167,-0.01738788,0.02293804,8.673201,0.01674167,-0.01738788,-0.03477577,-0.03477577,0.04587609
2.02,43.62,0.016825,-0.01745546,0.02303336,8.724001,0.016825,-0.01745546,-0.03491092,-0.03491092,0.04606671
2.03,43.8785,0.0169,-0.01752213,0.02312829,8.7757,0.0169,-0.01752213,-0.03504426,-0.03504426,0.04625658
2.04,44.1425,0.01699167,-0.01758793,0.02322277,8.8285,0.01699167,-0.01758793,-0.03517586,-0.03517586,0.04644554
2.05,44.4125,0.017075,-0.01765304,0.02331672,8.882501,0.017075,-0.01765304,-0.03530608,-0.03530608,0.04663344
2.06,44.687,0.01715833,-0.01771762,0.02341022,8.9374,0.01715833,-0.01771762,-0.03543523,-0.03543523,0.04682044
2.07,44.9625,0.01724167,-0.01778194,0.02350326,8.992499,0.01724167,-0.01778194,-0.03556389,-0.03556389,0.04700652
