"1 _ 1",,,,,,,,,,
"時間","試験力","ストローク","変位計1","変位計2","応力","ストローク(ひずみ)","変位","変位(ひずみ)","変位計1(ひずみ)","変位計2(ひずみ)"
"sec","N","mm","mm","mm","N/mm2","%","mm","%","%","%"
"0.98","35.8795","0.008141667","0.0001686092","0.0002593567","7.1759","0.008141667","0.0001686092","0.003372184","0.003372184","0.005187134"
"0.99","36.277","0.008225","0.0001705251","0.0002623567","7.2554","0.008225","0.0001705251","0.003410502","0.003410502","0.005247134"
"1","36.675","0.008316667","0.0001724448","0.0002653543","7.335","0.008316667","0.0001724448","0.003448896","0.003448896","0.005307086"
"1.01","37.074","0.008391667","0.0001743698","0.0002683474","7.4148","0.008391667","0.0001743698","0.003487395","0.003487395","0.005366948"
"1.02","37.4715","0.008483334","0.0001763021","0.0002713359","7.4943","0.008483334","0.0001763021","0.003526042","0.003526042","0.005426719"
"1.03","37.8665","0.008558334","0.0001782377","0.0002743195","7.5733","0.008558334","0.0001782377","0.003564755","0.003564755","0.005486391"
"1.04","38.2615","0.00865","0.0001801755","0.0002772986","7.652299","0.00865","0.0001801755","0.003603511","0.003603511","0.005545971"
"1.05","38.6595","0.008733333","0.0001821109","0.0002802709","7.7319","0.008733333","0.0001821109","0.003642219","0.003642219","0.005605419"
"1.06","39.0625","0.008808333","0.0001840442","0.0002832367","7.8125","0.008808333","0.0001840442","0.003680884","0.003680884","0.005664733"
"1.07","39.469","0.008891666","0.0001859765","0.0002861941","7.8938","0.008891666","0.0001859765","0.003719531","0.003719531","0.005723881"
"1.08","39.879","0.008983334","0.0001879089","0.0002891476","7.975801","0.008983334","0.0001879089","0.003758177","0.003758177","0.005782953"
"1.09","40.2925","0.009058333","0.0001898409","0.0002920995","8.0585","0.009058333","0.0001898409","0.003796819","0.003796819","0.005841991"
"1.1","40.7085","0.00915","0.0001917761","0.0002950545","8.1417","0.00915","0.0001917761","0.003835523","0.003835523","0.005901091"
"1.11","41.1265","0.009225","0.0001937137","0.0002980162","8.2253","0.009225","0.0001937137","0.003874274","0.003874274","0.005960325"
"1.12","41.549","0.009316667","0.000195655","0.000300987","8.3098","0.009316667","0.000195655","0.003913101","0.003913101","0.006019739"
"1.13","41.979","0.0094","0.0001976007","0.0003039643","8.3958","0.0094","0.0001976007","0.003952014","0.003952014","0.006079287"
"1.14","42.416","0.009475","0.0001995521","0.0003069479","8.4832","0.009475","0.0001995521","0.003991041","0.003991041","0.006138958"
"1.15","42.8555","0.009558333","0.0002015056","0.0003099331","8.5711","0.009558333","0.0002015056","0.004030111","0.004030111","0.006198662"
"1.16","43.2935","0.009641667","0.0002034605","0.0003129169","8.6587","0.009641667","0.0002034605","0.00406921","0.00406921","0.006258339"
"1.17","43.73","0.009725","0.0002054114","0.0003158957","8.746","0.009725","0.0002054114","0.004108227","0.004108227","0.006317915"
"1.18","44.164","0.009816667","0.0002073587","0.0003188681","8.8328","0.009816667","0.0002073587","0.004147174","0.004147174","0.006377362"
"1.19","44.5915","0.009891666","0.0002093027","0.0003218334","8.918301","0.009891666","0.0002093027","0.004186054","0.004186054","0.006436667"
"1.2","45.0115","0.009983334","0.000211245","0.0003247967","9.0023","0.009983334","0.000211245","0.0042249","0.0042249","0.006495934"
"1.21","45.424","0.01006667","0.0002131859","0.0003277584","9.0848","0.01006667","0.0002131859","0.004263718","0.004263718","0.006555167"
"1.22","45.8325","0.01014167","0.0002151282","0.0003307198","9.1665","0.01014167","0.0002151282","0.004302564","0.004302564","0.006614396"
"1.23","46.2385","0.01023333","0.0002170693","0.0003336829","9.247701","0.01023333","0.0002170693","0.004341387","0.004341387","0.006673658"
"1.24","46.6455","0.01030833","0.0002190083","0.0003366486","9.3291","0.01030833","0.0002190083","0.004380167","0.004380167","0.006732973"
"1.25","47.058","0.0104","0.0002209454","0.0003396158","9.4116","0.0104","0.0002209454","0.004418908","0.004418908","0.006792315"
"1.26","47.4775","0.01048333","0.0002228837","0.0003425841","9.4955","0.01048333","0.0002228837","0.004457674","0.004457674","0.006851682"
"1.27","47.903","0.01055833","0.0002248224","0.0003455536","9.5806","0.01055833","0.0002248224","0.004496448","0.004496448","0.006911073"
"1.28","48.3315","0.01064167","0.0002267612","0.0003485267","9.6663","0.01064167","0.0002267612","0.004535223","0.004535223","0.006970535"
"1.29","48.758","0.010725","0.0002286966","0.0003515006","9.7516","0.010725","0.0002286966","0.004573932","0.004573932","0.007030011"
"1.3","49.179","0.01081667","0.0002306282","0.0003544741","9.835799","0.01081667","0.0002306282","0.004612564","0.004612564","0.007089483"
"1.31","49.595","0.0109","0.0002325565","0.0003574458","9.919","0.0109","0.0002325565","0.004651129","0.004651129","0.007148916"
"1.32","50.0095","0.010975","0.0002344833","0.0003604151","10.0019","0.010975","0.0002344833","0.004689666","0.004689666","0.007208302"
"1.33","50.423","0.01106667","0.0002364092","0.0003633813","10.0846","0.01106667","0.0002364092","0.004728184","0.004728184","0.007267625"
"1.34","50.834","0.01115","0.0002383368","0.0003663455","10.1668","0.01115","0.0002383368","0.004766735","0.004766735","0.007326911"
"1.35","51.2435","0.011225","0.0002402674","0.0003693072","10.2487","0.011225","0.0002402674","0.004805349","0.004805349","0.007386145"
"1.36","51.655","0.01131667","0.0002422024","0.0003722691","10.331","0.01131667","0.0002422024","0.004844047","0.004844047","0.007445383"
"1.37","52.0675","0.01139167","0.0002441387","0.0003752308","10.4135","0.01139167","0.0002441387","0.004882775","0.004882775","0.007504616"
"1.38","52.48","0.011475","0.0002460753","0.0003781918","10.496","0.011475","0.0002460753","0.004921507","0.004921507","0.007563835"
"1.39","52.891","0.01156667","0.0002480096","0.0003811506","10.5782","0.01156667","0.0002480096","0.004960191","0.004960191","0.007623011"
"1.4","53.3","0.01164167","0.0002499412","0.0003841099","10.66","0.01164167","0.0002499412","0.004998824","0.004998824","0.007682198"
"1.41","53.707","0.01173333","0.0002518664","0.0003870677","10.7414","0.01173333","0.0002518664","0.005037327","0.005037327","0.007741355"
"1.42","54.114","0.01180833","0.0002537873","0.0003900256","10.8228","0.01180833","0.0002537873","0.005075745","0.005075745","0.007800512"
"1.43","54.523","0.01189167","0.0002557072","0.0003929837","10.9046","0.01189167","0.0002557072","0.005114144","0.005114144","0.007859674"
"1.44","54.9375","0.01198333","0.0002576312","0.000395943","10.9875","0.01198333","0.0002576312","0.005152624","0.005152624","0.00791886"
"1.45","55.3575","0.01205833","0.0002595595","0.0003989011","11.0715","0.01205833","0.0002595595","0.00519119","0.00519119","0.007978022"
"1.46","55.7815","0.01215","0.0002614911","0.0004018592","11.1563","0.01215","0.0002614911","0.005229821","0.005229821","0.008037184"
"1.47","56.207","0.01223333","0.0002634232","0.0004048159","11.2414","0.01223333","0.0002634232","0.005268463","0.005268463","0.008096318"
"1.48","56.6295","0.01230833","0.0002653576","0.0004077752","11.3259","0.01230833","0.0002653576","0.005307153","0.005307153","0.008155503"
"1.49","57.048","0.0124","0.0002672926","0.0004107411","11.4096","0.0124","0.0002672926","0.005345852","0.005345852","0.008214823"
"1.5","57.462","0.012475","0.000269227","0.0004137159","11.4924","0.012475","0.000269227","0.00538454","0.00538454","0.008274318"
"1.51","57.872","0.01256667","0.0002711601","0.0004166966","11.5744","0.01256667","0.0002711601","0.005423201","0.005423201","0.008333932"
"1.52","58.28","0.01265","0.0002730929","0.0004196799","11.656","0.01265","0.0002730929","0.005461858","0.005461858","0.008393599"
"1.53","58.6865","0.012725","0.0002750238","0.0004226616","11.7373","0.012725","0.0002750238","0.005500475","0.005500475","0.008453232"
"1.54","59.0925","0.01281667","0.0002769532","0.0004256433","11.8185","0.01281667","0.0002769532","0.005539064","0.005539064","0.008512865"
"1.55","59.495","0.01289167","0.0002788832","0.0004286259","11.899","0.01289167","0.0002788832","0.005577663","0.005577663","0.008572518"
"1.56","59.8935","0.012975","0.0002808169","0.0004316104","11.9787","0.012975","0.0002808169","0.005616338","0.005616338","0.008632207"
"1.57","60.291","0.01306667","0.0002827521","0.0004345949","12.0582","0.01306667","0.0002827521","0.005655042","0.005655042","0.008691898"
"1.58","60.69","0.01314167","0.0002846873","0.0004375775","12.138","0.01314167","0.0002846873","0.005693745","0.005693745","0.008751551"
"1.59","61.0915","0.013225","0.0002866198","0.0004405561","12.2183","0.013225","0.0002866198","0.005732397","0.005732397","0.008811122"
"1.6","61.4925","0.01331667","0.0002885502","0.000443532","12.2985","0.01331667","0.0002885502","0.005771005","0.005771005","0.008870641"
"1.61","61.8915","0.01339167","0.000290479","0.0004465035","12.3783","0.01339167","0.000290479","0.00580958","0.00580958","0.008930069"
"1.62","62.284","0.01348333","0.0002924111","0.0004494714","12.4568","0.01348333","0.0002924111","0.005848222","0.005848222","0.008989427"
"1.63","62.669","0.01355833","0.0002943453","0.0004524344","12.5338","0.01355833","0.0002943453","0.005886906","0.005886906","0.009048689"
"1.64","63.047","0.01365","0.0002962826","0.000455393","12.6094","0.01365","0.0002962826","0.005925653","0.005925653","0.009107861"
"1.65","63.4225","0.01373333","0.0002982183","0.0004583476","12.6845","0.01373333","0.0002982183","0.005964366","0.005964366","0.009166951"
"1.66","63.8015","0.01380833","0.0003001494","0.0004613002","12.7603","0.01380833","0.0003001494","0.006002989","0.006002989","0.009226004"
"1.67","64.1875","0.01389167","0.0003020722","0.0004642504","12.8375","0.01389167","0.0003020722","0.006041445","0.006041445","0.009285009"
"1.68","64.5805","0.013975","0.0003039881","0.0004672004","12.9161","0.013975","0.0003039881","0.006079762","0.006079762","0.009344009"
"1.69","64.9795","0.01405833","0.0003058967","0.0004701504","12.9959","0.01405833","0.0003058967","0.006117933","0.006117933","0.009403009"
"1.7","65.3835","0.01415","0.0003078004","0.0004731019","13.0767","0.01415","0.0003078004","0.006156009","0.006156009","0.009462038"
"1.71","65.791","0.014225","0.0003096989","0.0004760536","13.1582","0.014225","0.0003096989","0.006193978","0.006193978","0.009521071"
"1.72","66.201","0.01430833","0.0003115936","0.0004790036","13.2402","0.01430833","0.0003115936","0.006231873","0.006231873","0.009580071"
"1.73","66.6105","0.0144","0.0003134862","0.0004819469","13.3221","0.0144","0.0003134862","0.006269725","0.006269725","0.009638938"
"1.74","67.0185","0.014475","0.0003153786","0.0004848853","13.4037","0.014475","0.0003153786","0.006307571","0.006307571","0.009697706"
"1.75","67.426","0.01456667","0.0003172685","0.0004878193","13.4852","0.01456667","0.0003172685","0.006345371","0.006345371","0.009756387"
"1.76","67.8335","0.01464167","0.0003191544","0.0004907494","13.5667","0.01464167","0.0003191544","0.006383089","0.006383089","0.009814987"
"1.77","68.2435","0.014725","0.0003210361","0.0004936751","13.6487","0.014725","0.0003210361","0.006420721","0.006420721","0.009873501"
"1.78","68.659","0.01481667","0.0003229182","0.0004965984","13.7318","0.01481667","0.0003229182","0.006458363","0.006458363","0.009931969"
"1.79","69.081","0.01489167","0.0003248024","0.0004995232","13.8162","0.01489167","0.0003248024","0.006496049","0.006496049","0.009990465"
"1.8","69.5095","0.01498333","0.0003266917","0.0005024535","13.9019","0.01498333","0.0003266917","0.006533833","0.006533833","0.01004907"
"1.81","69.9435","0.01506667","0.0003285864","0.000505388","13.9887","0.01506667","0.0003285864","0.006571728","0.006571728","0.01010776"
"1.82","70.381","0.01515","0.0003304875","0.000508324","14.0762","0.01515","0.0003304875","0.00660975","0.00660975","0.01016648"
"1.83","70.819","0.01523333","0.0003323937","0.0005112585","14.1638","0.01523333","0.0003323937","0.006647873","0.006647873","0.01022517"
"1.84","71.2545","0.01530833","0.0003343046","0.0005141912","14.2509","0.01530833","0.0003343046","0.006686091","0.006686091","0.01028382"
"1.85","71.6845","0.0154","0.0003362164","0.0005171229","14.3369","0.0154","0.0003362164","0.006724328","0.006724328","0.01034246"
"1.86","72.107","0.01548333","0.0003381304","0.0005200572","14.4214","0.01548333","0.0003381304","0.006762608","0.006762608","0.01040114"
"1.87","72.52299","0.01555833","0.0003400468","0.0005229939","14.5046","0.01555833","0.0003400468","0.006800936","0.006800936","0.01045988"
"1.88","72.9355","0.01565","0.000341966","0.0005259339","14.5871","0.01565","0.000341966","0.006839321","0.006839321","0.01051868"
"1.89","73.348","0.015725","0.0003438855","0.0005288746","14.6696","0.015725","0.0003438855","0.00687771","0.00687771","0.01057749"
"1.9","73.7635","0.01580833","0.0003458078","0.0005318153","14.7527","0.01580833","0.0003458078","0.006916157","0.006916157","0.01063631"
"1.91","74.181","0.0159","0.0003477306","0.0005347553","14.8362","0.0159","0.0003477306","0.006954612","0.006954612","0.01069511"
"1.92","74.598","0.015975","0.0003496506","0.0005376958","14.9196","0.015975","0.0003496506","0.006993012","0.006993012","0.01075392"
"1.93","75.015","0.01606667","0.0003515655","0.0005406361","15.003","0.01606667","0.0003515655","0.00703131","0.00703131","0.01081272"
"1.94","75.431","0.01615","0.0003534762","0.0005435744","15.0862","0.01615","0.0003534762","0.007069523","0.007069523","0.01087149"
"1.95","75.84","0.016225","0.0003553826","0.0005465089","15.168","0.016225","0.0003553826","0.007107651","0.007107651","0.01093018"
"1.96","76.241","0.01631667","0.0003572863","0.0005494402","15.2482","0.01631667","0.0003572863","0.007145727","0.007145727","0.0109888"
"1.97","76.63551","0.01639167","0.0003591863","0.0005523675","15.3271","0.01639167","0.0003591863","0.007183725","0.007183725","0.01104735"
"1.98","77.026","0.016475","0.0003610831","0.0005552897","15.4052","0.016475","0.0003610831","0.007221662","0.007221662","0.01110579"
"1.99","77.418","0.01656667","0.0003629769","0.0005582045","15.4836","0.01656667","0.0003629769","0.007259538","0.007259538","0.01116409"
