1 _ 1,,,,,,,,,,
時間,試験力,ストローク,変位計1,変位計2,応力,ストローク(ひずみ),変位,変位(ひずみ),変位計1(ひずみ),変位計2(ひずみ)
sec,N,mm,mm,mm,N/mm2,%,mm,%,%,%
1.78,57.3925,0.01481667,0.001912752,0.000562772,11.4785,0.01481667,0.001912752,0.003825504,0.003825504,0.001125544
1.79,57.779,0.0149,0.001925656,0.000566012,11.5558,0.0149,0.001925656,0.003851312,0.003851312,0.001132024
1.8,58.1595,0.01498333,0.001938388,0.000569676,11.6319,0.01498333,0.001938388,0.003876776,0.003876776,0.001139352
1.81,58.536,0.01506667,0.001950892,0.00057362,11.7072,0.01506667,0.001950892,0.003901784,0.003901784,0.00114724
1.82,58.9085,0.01515,0.001963152,0.000577708,11.7817,0.01515,0.001963152,0.003926304,0.003926304,0.001155416
1.83,59.281,0.01523333,0.001975204,0.0005818,11.8562,0.01523333,0.001975204,0.003950408,0.003950408,0.0011636
1.84,59.6575,0.01531667,0.00198722,0.000585824,11.9315,0.01531667,0.00198722,0.00397444,0.00397444,0.001171648
1.85,60.041,0.0154,0.0019993,0.000589676,12.0082,0.0154,0.0019993,0.0039986,0.0039986,0.001179352
1.86,60.4315,0.01548333,0.002011508,0.00059332,12.0863,0.01548333,0.002011508,0.004023016,0.004023016,0.00118664
1.87,60.8325,0.01556667,0.002023804,0.00059696,12.1665,0.01556667,0.002023804,0.004047608,0.004047608,0.00119392
1.88,61.243,0.01565,0.002036224,0.000600752,12.2486,0.01565,0.002036224,0.004072448,0.004072448,0.001201504
1.89,61.659,0.01573333,0.002048808,0.000604584,12.3318,0.01573333,0.002048808,0.004097616,0.004097616,0.001209168
1.9,62.0785,0.01581667,0.002061528,0.000608404,12.4157,0.01581667,0.002061528,0.004123056,0.004123056,0.001216808
1.91,62.497,0.0159,0.002074292,0.000612104,12.4994,0.0159,0.002074292,0.004148584,0.004148584,0.001224208
