Simul_number,Time,A,c0,Mobility,k,Energy,c_mean
302,499.95,1.19,0.4,1,0.5,0.019974,0.4002
303,499.95,1.2,0.4,1,0.5,0.018562,0.4
304,499.95,0.2,0.45,1,0.5,0.009837,0.45
305,499.95,0.21,0.45,1,0.5,0.009967,0.4501
306,499.95,0.22,0.45,1,0.5,0.010432,0.45
307,499.95,0.23,0.45,1,0.5,0.01065,0.45
308,499.95,0.24,0.45,1,0.5,0.010681,0.4501
309,499.95,0.25,0.45,1,0.5,0.011211,0.4501
310,499.95,0.26,0.45,1,0.5,0.011271,0.4502
311,499.95,0.27,0.45,1,0.5,0.010788,0.4499
312,499.95,0.28,0.45,1,0.5,0.01133,0.45
313,499.95,0.29,0.45,1,0.5,0.011566,0.45
314,499.95,0.3,0.45,1,0.5,0.011441,0.4501
315,499.95,0.31,0.45,1,0.5,0.011862,0.4498
316,499.95,0.32,0.45,1,0.5,0.012015,0.4501
317,499.95,0.33,0.45,1,0.5,0.012003,0.4499
318,499.95,0.34,0.45,1,0.5,0.012089,0.4498
319,499.95,0.35,0.45,1,0.5,0.012561,0.4502
320,499.95,0.36,0.45,1,0.5,0.012266,0.4501
321,499.95,0.37,0.45,1,0.5,0.011992,0.45
322,499.95,0.38,0.45,1,0.5,0.012522,0.4498
323,499.95,0.39,0.45,1,0.5,0.012538,0.4498
324,499.95,0.4,0.45,1,0.5,0.012202,0.4501
325,499.95,0.41,0.45,1,0.5,0.012438,0.4501
326,499.95,0.42,0.45,1,0.5,0.012453,0.4499
327,499.95,0.43,0.45,1,0.5,0.012628,0.4501
328,499.95,0.44,0.45,1,0.5,0.012736,0.4502
329,499.95,0.45,0.45,1,0.5,0.013609,0.45
330,499.95,0.46,0.45,1,0.5,0.012577,0.45
331,499.95,0.47,0.45,1,0.5,0.013853,0.4501
332,499.95,0.48,0.45,1,0.5,0.013753,0.4501
333,499.95,0.49,0.45,1,0.5,0.013113,0.45
334,499.95,0.5,0.45,1,0.5,0.012236,0.4501
335,499.95,0.51,0.45,1,0.5,0.013569,0.45
336,499.95,0.52,0.45,1,0.5,0.013423,0.4501
337,499.95,0.53,0.45,1,0.5,0.013242,0.4501
338,499.95,0.54,0.45,1,0.5,0.014171,0.45
339,499.95,0.55,0.45,1,0.5,0.01329,0.45
340,499.95,0.56,0.45,1,0.5,0.014069,0.45
341,499.95,0.57,0.45,1,0.5,0.014334,0.45
342,499.95,0.58,0.45,1,0.5,0.013628,0.4501
343,499.95,0.59,0.45,1,0.5,0.01375,0.45
344,499.95,0.6,0.45,1,0.5,0.014036,0.45
345,499.95,0.61,0.45,1,0.5,0.013521,0.45
346,499.95,0.62,0.45,1,0.5,0.014164,0.4501
347,499.95,0.63,0.45,1,0.5,0.014813,0.45
348,499.95,0.64,0.45,1,0.5,0.014586,0.4501
349,499.95,0.65,0.45,1,0.5,0.014064,0.4501
350,499.95,0.66,0.45,1,0.5,0.015464,0.4501
351,499.95,0.67,0.45,1,0.5,0.014406,0.4501
352,499.95,0.68,0.45,1,0.5,0.015019,0.4501
353,499.95,0.69,0.45,1,0.5,0.015122,0.4501
354,499.95,0.7,0.45,1,0.5,0.015906,0.4501
355,499.95,0.71,0.45,1,0.5,0.01523,0.45
356,499.95,0.72,0.45,1,0.5,0.014769,0.4499
357,499.95,0.73,0.45,1,0.5,0.016626,0.45
358,499.95,0.74,0.45,1,0.5,0.014599,0.45
359,499.95,0.75,0.45,1,0.5,0.015982,0.45
360,499.95,0.76,0.45,1,0.5,0.015946,0.45
361,499.95,0.77,0.45,1,0.5,0.015746,0.4499
362,499.95,0.78,0.45,1,0.5,0.015631,0.4501
363,499.95,0.79,0.45,1,0.5,0.016379,0.4501
364,499.95,0.8,0.45,1,0.5,0.01712,0.4501
365,499.95,0.81,0.45,1,0.5,0.016212,0.4501
366,499.95,0.82,0.45,1,0.5,0.017163,0.4498
367,499.95,0.83,0.45,1,0.5,0.016848,0.4501
368,499.95,0.84,0.45,1,0.5,0.016476,0.4502
369,499.95,0.85,0.45,1,0.5,0.014699,0.45
370,499.95,0.86,0.45,1,0.5,0.017267,0.4498
371,499.95,0.87,0.45,1,0.5,0.017158,0.45
372,499.95,0.88,0.45,1,0.5,0.016745,0.45
373,499.95,0.89,0.45,1,0.5,0.016208,0.45
374,499.95,0.9,0.45,1,0.5,0.01555,0.4501
375,499.95,0.91,0.45,1,0.5,0.016472,0.45
376,499.95,0.92,0.45,1,0.5,0.015407,0.45
377,499.95,0.93,0.45,1,0.5,0.017837,0.4499
378,499.95,0.94,0.45,1,0.5,0.017032,0.45
379,499.95,0.95,0.45,1,0.5,0.01793,0.4501
380,499.95,0.96,0.45,1,0.5,0.017852,0.4501
381,499.95,0.97,0.45,1,0.5,0.017348,0.45
382,499.95,0.98,0.45,1,0.5,0.017817,0.45
383,499.95,0.99,0.45,1,0.5,0.017572,0.45
384,499.95,1.0,0.45,1,0.5,0.017786,0.45
385,499.95,1.01,0.45,1,0.5,0.017757,0.4501
386,499.95,1.02,0.45,1,0.5,0.017937,0.4501
387,499.95,1.03,0.45,1,0.5,0.016849,0.4499
388,499.95,1.04,0.45,1,0.5,0.017392,0.4501
389,499.95,1.05,0.45,1,0.5,0.01865,0.45
390,499.95,1.06,0.45,1,0.5,0.018061,0.4502
391,499.95,1.07,0.45,1,0.5,0.017558,0.4499
392,499.95,1.08,0.45,1,0.5,0.017326,0.4498
393,499.95,1.09,0.45,1,0.5,0.018678,0.4501
394,499.95,1.1,0.45,1,0.5,0.018852,0.4501
395,499.95,1.11,0.45,1,0.5,0.01677,0.45
396,499.95,1.12,0.45,1,0.5,0.01791,0.4501
397,499.95,1.13,0.45,1,0.5,0.019645,0.4501
398,499.95,1.14,0.45,1,0.5,0.019399,0.4499
399,499.95,1.15,0.45,1,0.5,0.018267,0.45
400,499.95,1.16,0.45,1,0.5,0.01946,0.45
401,499.95,1.17,0.45,1,0.5,0.018535,0.4499
402,499.95,1.18,0.45,1,0.5,0.019022,0.45
403,499.95,1.19,0.45,1,0.5,0.019521,0.4501
404,499.95,1.2,0.45,1,0.5,0.019126,0.4499
405,499.95,0.2,0.5,1,0.5,0.01024,0.5
406,499.95,0.21,0.5,1,0.5,0.010144,0.5
407,499.95,0.22,0.5,1,0.5,0.010378,0.5
408,499.95,0.23,0.5,1,0.5,0.010109,0.5
409,499.95,0.24,0.5,1,0.5,0.010623,0.5
410,499.95,0.25,0.5,1,0.5,0.010768,0.5002
411,499.95,0.26,0.5,1,0.5,0.011062,0.4999
412,499.95,0.27,0.5,1,0.5,0.011183,0.5
413,499.95,0.28,0.5,1,0.5,0.010999,0.5
414,499.95,0.29,0.5,1,0.5,0.011565,0.5
415,499.95,0.3,0.5,1,0.5,0.012067,0.5
416,499.95,0.31,0.5,1,0.5,0.011803,0.5
417,499.95,0.32,0.5,1,0.5,0.011542,0.5
418,499.95,0.33,0.5,1,0.5,0.012114,0.5001
419,499.95,0.34,0.5,1,0.5,0.012002,0.4999
420,499.95,0.35,0.5,1,0.5,0.011964,0.5
421,499.95,0.36,0.5,1,0.5,0.012195,0.5
422,499.95,0.37,0.5,1,0.5,0.012882,0.5
423,499.95,0.38,0.5,1,0.5,0.012138,0.4999
424,499.95,0.39,0.5,1,0.5,0.012221,0.5002
425,499.95,0.4,0.5,1,0.5,0.012958,0.5001
426,499.95,0.41,0.5,1,0.5,0.013002,0.4999
427,499.95,0.42,0.5,1,0.5,0.012816,0.5002
428,499.95,0.43,0.5,1,0.5,0.012551,0.4999
429,499.95,0.44,0.5,1,0.5,0.012884,0.4999
430,499.95,0.45,0.5,1,0.5,0.013248,0.4998
431,499.95,0.46,0.5,1,0.5,0.012594,0.5
432,499.95,0.47,0.5,1,0.5,0.014271,0.5
433,499.95,0.48,0.5,1,0.5,0.013172,0.5001
434,499.95,0.49,0.5,1,0.5,0.01352,0.4999
435,499.95,0.5,0.5,1,0.5,0.013406,0.4999
436,499.95,0.51,0.5,1,0.5,0.014413,0.4999
437,499.95,0.52,0.5,1,0.5,0.014618,0.5
438,499.95,0.53,0.5,1,0.5,0.01393,0.5001
439,499.95,0.54,0.5,1,0.5,0.014082,0.5002
440,499.95,0.55,0.5,1,0.5,0.014284,0.5001
441,499.95,0.56,0.5,1,0.5,0.013471,0.5001
442,499.95,0.57,0.5,1,0.5,0.013849,0.5
443,499.95,0.58,0.5,1,0.5,0.014817,0.5001
444,499.95,0.59,0.5,1,0.5,0.013478,0.5001
445,499.95,0.6,0.5,1,0.5,0.014112,0.4998
446,499.95,0.61,0.5,1,0.5,0.014057,0.5
447,499.95,0.62,0.5,1,0.5,0.014282,0.5
448,499.95,0.63,0.5,1,0.5,0.015215,0.5001
449,499.95,0.64,0.5,1,0.5,0.015058,0.5002
450,499.95,0.65,0.5,1,0.5,0.015473,0.5001
451,499.95,0.66,0.5,1,0.5,0.014987,0.5
452,499.95,0.67,0.5,1,0.5,0.015938,0.5002
453,499.95,0.68,0.5,1,0.5,0.01571,0.5
454,499.95,0.69,0.5,1,0.5,0.015491,0.5
455,499.95,0.7,0.5,1,0.5,0.015251,0.5
456,499.95,0.71,0.5,1,0.5,0.016389,0.4999
457,499.95,0.72,0.5,1,0.5,0.015634,0.5001
458,499.95,0.73,0.5,1,0.5,0.016967,0.5
459,499.95,0.74,0.5,1,0.5,0.016318,0.5001
460,499.95,0.75,0.5,1,0.5,0.015028,0.5001
461,499.95,0.76,0.5,1,0.5,0.016231,0.4999
462,499.95,0.77,0.5,1,0.5,0.016591,0.5001
463,499.95,0.78,0.5,1,0.5,0.014434,0.4999
464,499.95,0.79,0.5,1,0.5,0.01556,0.5001
465,499.95,0.8,0.5,1,0.5,0.017874,0.5
466,499.95,0.81,0.5,1,0.5,0.015544,0.5
467,499.95,0.82,0.5,1,0.5,0.015649,0.5001
468,499.95,0.83,0.5,1,0.5,0.016878,0.5001
